species,1-MDcol002-5-2.report,11-MDCol002-label-12-on-bottle.report,14-MDCOL003-Stool-1B-Baseline-BSB-2-4-1-4.report,15-MDcol004-3-1-pretreat.report,17-MDCOL006-3-1A.report,19-MDCOL006-3-2A.report,21-MDCOL006-2-pre-chemo-A.report,23-MDcol033-1A.report,25-MDcol036-1A.report,27-MDcol025-1B.report,28-7A-1-1.report,29-7A.report,3-MDcol002-5-1.report,30-8B.report,31-8B.report,33-6-2.report,36-40-1B.report,38-S-Swanson.report,40-MDCol002-7-43.report,42-51-1B.report,45-MDCOL005-1B.report,46-MDCOL015-1a.report,48-MDCOL039-1a.report,5-MDCOL055-Stool-1A-Baseline-BSB-2-4-1-2.report,50-MDCOL027-1a.report,52-MDCOL021-1b.report,54-MDCOL028-1b.report,60-MDcol006-4-1A.report,63-MDcol003-3-2.report,65-MDCOL003-Post-Chemo-Collection-Cycle-1-A.report,66-MDCOL004-1A.report,68-MDCOL003-3-1-Before-Chemo-2-3A.report,7-MDCOL058-Stool-1A-Baseline-BSB-2-4-1-3.report,70-MDCOL004-3-2-Post-Chemo-A.report,72-MDCOL003-4-1-4A-Before-Chemo-6.report,75-MDCOL053-1-1-1-Unknown.report,9-MDCOL062-Stool-1A-Baseline-BSB-2-4-1-3.report
Cellvibrio_sp._PSBB006,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,
Cetobacterium_somerae,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,6.0
Chakrabartyella_piscis,,,,8.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,3.0,,,
Changpingibacter_yushuensis,,,,2.0,,1.0,8.0,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,
Chania_multitudinisentens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,
Chimaeribacter_arupi,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chitinimonas_koreensis,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
Chitinophaga_sp._XS-30,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Chlorobium_phaeovibrioides,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Chopinvirus_KSY1,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chordicoccus_furentiruminis,51.0,57.0,171.0,93.0,14.0,16.0,37.0,28.0,15.0,6.0,76.0,42.0,52.0,20.0,46.0,36.0,60.0,40.0,126.0,84.0,3.0,14.0,27.0,65.0,67.0,,,41.0,,349.0,5.0,48.0,52.0,2.0,,71.0,12.0
Christensenella_massiliensis,456.0,902.0,140.0,249.0,82.0,121.0,302.0,86.0,179.0,138.0,215.0,132.0,399.0,125.0,683.0,583.0,521.0,1782.0,468.0,255.0,126.0,423.0,971.0,177.0,827.0,2.0,3.0,401.0,,81.0,22.0,45.0,172.0,3.0,10.0,986.0,500.0
Christensenella_minuta,51.0,59.0,5.0,972.0,7.0,4.0,26.0,68.0,1105.0,222.0,56.0,32.0,56.0,29.0,118.0,39.0,36.0,131.0,88.0,38.0,72.0,38.0,273.0,33.0,767.0,5.0,,22.0,,5.0,50.0,3.0,22.0,16.0,61.0,641.0,744.0
Chromobacterium_vaccinii,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
Chryseobacterium_gallinarum,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Chryseobacterium_indoltheticum,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citricoccus_muralis,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citrobacter_amalonaticus,,,1862.0,,88.0,4.0,1102.0,,,,,,,,,,,,,,16.0,,,,,,36.0,,804.0,1690.0,,2052.0,,,1.0,,
Citrobacter_arsenatis,,,131.0,,,,,,,,,,,,,,,20.0,,,,,1.0,,,,,,815.0,49.0,,106.0,,,,,
Citrobacter_braakii,15.0,7.0,1024.0,,13.0,,114.0,,3.0,,,,69.0,,,,,1382.0,,52.0,347.0,,,9.0,22.0,2.0,45.0,,5856.0,322.0,,771.0,,,8.0,,
Citrobacter_cronae,,,2703.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,20218.0,792.0,,2271.0,,,,,
Citrobacter_enshiensis,,,2.0,,,,7.0,,1.0,,,,,,,,,13.0,1.0,,5.0,,,,,,1.0,,1.0,2.0,,5.0,,,,,
Citrobacter_europaeus,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,425.0,14.0,,51.0,,,,,
Citrobacter_farmeri,,,25855.0,2.0,4037.0,195.0,33059.0,,,,,,,,,,2.0,,,1.0,6.0,,,2.0,,,,,10009.0,37013.0,,36477.0,,,31.0,,
Citrobacter_freundii,66.0,43.0,6346.0,41.0,79.0,4.0,655.0,,,,142.0,45.0,245.0,,,,26.0,2469.0,454.0,348.0,366.0,,280.0,153.0,83.0,,192.0,,55097.0,5489.0,,6577.0,207.0,,3.0,138.0,
Citrobacter_freundii_complex_sp._CFNIH2,,,43.0,,3.0,,25.0,,,,,,,,,,,,,,,,,,,,,,9.0,58.0,,43.0,,,,,
Citrobacter_freundii_complex_sp._CFNIH9,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,295.0,8.0,,56.0,,,,,
Citrobacter_gillenii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,
Citrobacter_koseri,,,24.0,,,,,,,,,,,,,,,,,,2.0,,6.0,,2.0,,,,15.0,38.0,,18.0,,,1.0,,
Citrobacter_meridianamericanus,396.0,575.0,132.0,,1.0,,43.0,,,,655.0,588.0,4171.0,53.0,23.0,132.0,157.0,1581.0,761.0,3584.0,,,1.0,1061.0,,,,,876.0,50.0,,122.0,206.0,,,,
Citrobacter_pasteurii,,,79.0,,,,,,,,,,,,,,,47.0,,4.0,2822.0,,15.0,,,,,,244.0,27.0,,19.0,,,,,
Citrobacter_portucalensis,,18.0,2996.0,4.0,29.0,,274.0,,,,18.0,,33.0,,,21.0,12.0,102.0,50.0,28.0,28.0,3.0,73.0,6.0,,,1179.0,,25166.0,996.0,,2913.0,,,,20.0,
Citrobacter_rodentium,,,2.0,,6.0,,67.0,,,,,,,,,,,,,,,4.0,,,,,,,2.0,2.0,,3.0,,,,,
Citrobacter_sedlakii,,,12.0,,1.0,1.0,80.0,,,,,,,,,,,,,,,,,,4.0,,,,11.0,2.0,,,,,,,
Citrobacter_sp._172116965,,,37.0,,,,,,,,,,,,,,,156.0,,,,,,,,,,,172.0,16.0,,19.0,,,,,
Citrobacter_sp._21OH12SH02A-Citro,,,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,986.0,,,44.0,,,,,
Citrobacter_sp._B72,,,219.0,,,,,,,,,,,,,,,,,,9.0,,,,,,,,1112.0,37.0,,103.0,,,,,
Citrobacter_sp._BDA59-3,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,1.0,,,,,,,,
Citrobacter_sp._BIDMC108,,,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,679.0,44.0,,,,,,,
Citrobacter_sp._C1,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,89.0,,,9.0,,,,,
Citrobacter_sp._C13,,,13.0,,,,,,,,,,,,,,,,,,,,54.0,,,,,,,,,,,,,,
Citrobacter_sp._CF971,,,243.0,,,,,,,,,,,,,,,,,,,,,,,,,,348.0,516.0,,814.0,,,,,
Citrobacter_sp._CFNIH10,,,43.0,,,,16.0,,,,,,,,,,,,,,,,,,,,3.0,,22.0,127.0,,139.0,,,,,
Citrobacter_sp._CRE-46,,,944.0,,,,,,,,,,,,,,,,,,14.0,,,,,,,,6592.0,360.0,,792.0,,,,,
Citrobacter_sp._Colony219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,,,,,,,
Citrobacter_sp._Colony322,,,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,560.0,36.0,,131.0,,,,,
Citrobacter_sp._FDAARGOS_156,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,53.0,,43.0,,,,,
Citrobacter_sp._MGH103,,,,,,,,,,,,,,,,,,,,,176.0,,,,,,,,221.0,,,,,,,,
Citrobacter_sp._MGH105,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,355.0,,,18.0,,,,,
Citrobacter_sp._On28M,,,,,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citrobacter_sp._R56,,,,,,,,,,,,,,,,,,3.0,,,1.0,,,,,,1.0,,1.0,,,,,,,,
Citrobacter_sp._RHB25-C09,,,8.0,,,,9.0,,,,,,,,,,,,,,,,,,,,,,42.0,3.0,,8.0,,,,,
Citrobacter_sp._RHB35-C17,,,163.0,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,135.0,,57.0,,,,,
Citrobacter_sp._RHB35-C21,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,87.0,,,13.0,,,,,
Citrobacter_sp._RHBSTW-00053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.0,,,,,,,,
Citrobacter_sp._RHBSTW-00127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.0,114.0,,773.0,,,,,
Citrobacter_sp._RHBSTW-00446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24241.0,,,,,,,,
Citrobacter_sp._RHBSTW-00524,,,53.0,,,,,,,,,,,,,,,98.0,54.0,,,,,,,,,,304.0,23.0,,40.0,,,,,
Citrobacter_sp._RHBSTW-00570,,,,,,,,,,,,,,,,,,,,,72.0,,,,,,,,57.0,,,,,,,,
Citrobacter_sp._RHBSTW-00599,,,43.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,134.0,,,45.0,,,,,
Citrobacter_sp._RHBSTW-00671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,
Citrobacter_sp._RHBSTW-00881,,,,,,,,,,,,,,,,,,,,,71.0,,,,,,,,,,,,,,,,
Citrobacter_sp._RHBSTW-00887,,,,,,,26.0,,,,,,,,,,,,,10.0,,,,,,15.0,,,,,,,,,,,
Citrobacter_sp._RHBSTW-00944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,,,,,
Citrobacter_sp._RHBSTW-00976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.0,,,,,,,,
Citrobacter_sp._RHBSTW-00986,,,14.0,,,,13.0,,,,,,,,,,,,,,12.0,,,,,,12.0,,145.0,,,15.0,,,,,
Citrobacter_sp._RHBSTW-01013,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,97.0,,,,,,,,
Citrobacter_sp._RHBSTW-01044,,,,,39.0,,627.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citrobacter_sp._S39,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citrobacter_sp._TSA-1,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,
Citrobacter_sp._XT1-2-2,,,153.0,,,,,,,,,,,,,,,,,,,,,,,,,,635.0,,,,,,,,
Citrobacter_sp._Y3,,,744.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,188.0,779.0,,1321.0,,,,,
Citrobacter_tructae,,,6.0,,,,,,,,,,,,,,,693.0,106.0,3.0,,,,,,,3.0,,65.0,4.0,,4.0,,,,,
Citrobacter_werkmanii,,,40759.0,2.0,,4.0,115.0,,,,,,3.0,,,,,,36.0,,10.0,1.0,,,5.0,,,,287775.0,12192.0,,33993.0,,,,,
Citrobacter_youngae,,,403.0,,,,,,,,,,33.0,,,,,149.0,,7.0,36.0,,,11.0,,,,,3336.0,193.0,,417.0,,,,,
Claveliimonas_bilis,16906.0,27479.0,2308.0,345.0,71.0,251.0,644.0,201.0,370.0,199.0,689.0,321.0,23669.0,257.0,1614.0,1128.0,36127.0,10111.0,16855.0,3503.0,9078.0,438.0,172.0,10529.0,1254.0,132.0,27.0,1166.0,87.0,1725.0,17.0,988.0,12287.0,8.0,526.0,225.0,501.0
Clavibacter_michiganensis,,,,,,,,,,,,,,1.0,1.0,,,,,3.0,,,,,,,,,,,,,,,,,
Clavibacter_sepedonicus,,,,,,,,,,,,,,,,,,,,104.0,,,,,,,,,,,,,,,,,2.0
Cloacibacillus_porcorum,20.0,14.0,,15.0,,,,1.0,,9.0,28.0,27.0,25.0,10.0,25.0,20.0,16.0,58.0,37.0,52.0,,15.0,33.0,17.0,74.0,,,2.0,,,,,20.0,1.0,,1312.0,1.0
Clostridioides_difficile,1654.0,3366.0,3176.0,9534.0,1366.0,2388.0,5967.0,1353.0,2957.0,7918.0,1230.0,837.0,1979.0,564.0,1860.0,1657.0,3443.0,11580.0,9773.0,1519.0,2274.0,27911.0,4998.0,1104.0,7478.0,2599.0,204631.0,8157.0,305.0,3670.0,537.0,3201.0,1107.0,96.0,856.0,4734.0,3382.0
Clostridioides_sp._ES-S-0107-01,,,1.0,,,,,,,,,,,1.0,,,,1.0,2.0,1.0,,134.0,,1.0,,,3.0,,,,,,,,,,
Clostridioides_sp._ES-S-0173-01,,1.0,,,1.0,,,,,,,,,,,,,,,5.0,70.0,,,,13.0,,,,,,,,,,,,
Clostridium_aceticum,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clostridium_acetobutylicum,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clostridium_argentinense,,,41.0,,2.0,,16.0,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,1.0
Clostridium_baratii,,,35.0,,58.0,3.0,92.0,1.0,,,4.0,2.0,,,2.0,4.0,,,1.0,,311.0,27.0,12.0,,62.0,3.0,,,,25.0,,27.0,,,,,
Clostridium_beijerinckii,,,4.0,,6.0,,7.0,,,,,,,,,,,,,,9.0,17.0,,3.0,9.0,,,,,6.0,,106.0,,,,,
Clostridium_bornimense,,1.0,6.0,,81.0,8.0,402.0,,1.0,,2.0,1.0,,1.0,2.0,2.0,5.0,,,,48.0,21.0,3.0,,34.0,,,12.0,,1.0,,3.0,,,,,2.0
Clostridium_botulinum,,,15.0,1.0,1447.0,,36.0,,,3.0,2.0,,,,,6.0,1.0,,,1.0,130.0,11.0,1.0,,35.0,5.0,,,42.0,1.0,,2.0,,,2.0,,1.0
Clostridium_butyricum,,,305.0,,167.0,,22640.0,,,,62.0,20.0,,,,5.0,,,,,1128.0,33.0,,,168.0,327.0,,,,48.0,,68.0,,,2.0,,
Clostridium_cadaveris,84.0,183.0,38.0,65.0,6.0,8.0,176.0,87.0,648.0,119.0,96.0,50.0,92.0,26.0,211.0,190.0,80.0,553.0,79.0,22.0,81.0,89.0,410.0,14.0,181.0,58.0,,78.0,4.0,42.0,3.0,30.0,45.0,4.0,22.0,212.0,59.0
Clostridium_carboxidivorans,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clostridium_cellulovorans,,,4.0,31.0,,,,,,,,,,,,,,,,,,,,,1.0,,,9.0,,8.0,29.0,,,4.0,1.0,3.0,
Clostridium_chauvoei,,1.0,7.0,,25.0,1.0,23.0,,,,1.0,,,,1.0,1.0,,,,,169.0,8.0,2.0,,23.0,,,,,2.0,,2.0,,,,,
Clostridium_cochlearium,,,43.0,,,,77.0,,23.0,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,7.0,,,,,,,
Clostridium_drakei,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
Clostridium_estertheticum,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,
Clostridium_felsineum,,,,,6.0,,22.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
Clostridium_fermenticellae,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clostridium_formicaceticum,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,
Clostridium_gasigenes,,,4.0,,14.0,2.0,8.0,,,,,1.0,,,,1.0,,,,,56.0,8.0,1.0,,37.0,,,,,4.0,,1.0,,,,,
Clostridium_gelidum,,1.0,3.0,1.0,22.0,2.0,13.0,,,,1.0,,,,1.0,3.0,,1.0,,,32.0,1.0,1.0,,29.0,,,,,1.0,,9.0,,,,,
Clostridium_intestinale,,,1.0,,8.0,,2.0,,,,,,,,,,,,,,27.0,,,,2.0,2.0,,,,,,,,,,,
Clostridium_isatidis,,2.0,16.0,,80.0,2.0,70.0,,,19.0,1.0,,,,,3.0,,,1.0,1.0,226.0,22.0,1.0,2.0,97.0,,,1.0,11.0,9.0,,,,,4.0,,
Clostridium_kluyveri,1.0,2.0,,,9.0,3.0,86.0,,,,,1.0,1.0,1.0,2.0,,4.0,,2.0,,1.0,15.0,,3.0,,1.0,,2.0,,1.0,,1.0,,,,1.0,
Clostridium_ljungdahlii,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clostridium_manihotivorum,,,5.0,,,,2.0,,,,,,,,,,,,,,10.0,2.0,,,,,,,,,,,,,,,
Clostridium_novyi,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Clostridium_pasteurianum,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,
Clostridium_perfringens,808.0,696.0,20871.0,331.0,1615.0,204.0,331.0,262.0,458.0,580.0,1302.0,707.0,495.0,256.0,711.0,891.0,517.0,2926.0,1016.0,491.0,8656.0,1817.0,762.0,85.0,5330.0,2009.0,,181.0,44.0,3481.0,23.0,928.0,124.0,63.0,181.0,484.0,825.0
Clostridium_saccharobutylicum,,,4.0,,8.0,,3.0,,,,,1.0,,,1.0,2.0,,,,,24.0,4.0,,,21.0,,,,,1.0,,3.0,,,,,
Clostridium_saccharoperbutylacetonicum,,,10.0,,1.0,,3.0,,,,,,,,,,,,,,6.0,1.0,,,3.0,,,,,,,14.0,,,,,
Clostridium_scatologenes,,,,,,,2.0,,,,,,1.0,,,2.0,,,3.0,,,,,1.0,,,,,,,,,1.0,,,,
Clostridium_septicum,,7.0,51.0,,365.0,31.0,212.0,,,,10.0,8.0,,,11.0,51.0,2.0,3.0,4.0,,565.0,24.0,22.0,2.0,722.0,6.0,,1.0,,11.0,,8.0,,,,,
Clostridium_sp._'deep_sea',,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Clostridium_sp._001,,,17.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,
Clostridium_sp._16K-1-R1,,,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clostridium_sp._BJN0001,,,3.0,,7.0,,52.0,,,1.0,,,,,,,,,,,10.0,1.0,,,2.0,,,,,,,1.0,,,,,
Clostridium_sp._BJN0013,,2.0,1.0,8.0,,,5.0,,,,1.0,,,,1.0,,6.0,,,1.0,,,4.0,,,,,,,1.0,,,1.0,,,,
Clostridium_sp._BNL1100,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Clostridium_sp._C1,1131.0,556.0,2.0,185.0,3188.0,1280.0,8810.0,98.0,173.0,158.0,728.0,411.0,992.0,325.0,512.0,2656.0,335.0,39539.0,1019.0,1552.0,238.0,4263.0,12.0,819.0,3466.0,46.0,679.0,4395.0,1.0,,34.0,3.0,646.0,4.0,1.0,7.0,59.0
Clostridium_sp._CF011,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clostridium_sp._DL-VIII,,,8.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,8.0,,,,,
Clostridium_sp._JN-9,,,,,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,
Clostridium_sp._JS66,,,,,2.0,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,
Clostridium_sp._LQ25,,,14.0,,,,837.0,,,,8.0,,6.0,,,,,,,,,,,,,21.0,,,,,,,,,,,
Clostridium_sp._M62/1,1444.0,2515.0,3033.0,3502.0,73.0,160.0,344.0,13280.0,519.0,8555.0,2087.0,1374.0,2082.0,859.0,3164.0,2430.0,2502.0,3523.0,4058.0,2058.0,525.0,4484.0,6037.0,1495.0,8252.0,387.0,76.0,1318.0,7.0,1989.0,314.0,1305.0,1558.0,57.0,1312.0,3069.0,1875.0
Clostridium_sp._MB40-C1,,,5.0,,,,5.0,,,,,,,,,,,,,,1.0,,2.0,,,,,,,1.0,,2.0,,,,,
Clostridium_sp._MD294,2.0,4.0,832.0,8.0,,,,,48.0,7.0,3.0,3.0,5.0,1.0,3.0,,4.0,6.0,2.0,2.0,25.0,31.0,54.0,3.0,17.0,3.0,4.0,,,565.0,,383.0,1.0,1.0,138.0,5.0,52.0
Clostridium_sp._MF28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,
Clostridium_sp._OS1-26,,,3.0,,3.0,,12.0,,,,,,,,,,,2.0,,,1.0,,,,,,,3.0,,6.0,,,,,,,
Clostridium_sp._SY8519,8.0,9.0,17.0,49.0,,5.0,9.0,9.0,73.0,109.0,13.0,7.0,24.0,6.0,19.0,19.0,22.0,35.0,40.0,5.0,33.0,29.0,180.0,2.0,118.0,210.0,,32.0,6.0,322.0,1.0,241.0,1.0,,153.0,165.0,695.0
Clostridium_sporogenes,,,6.0,,1501.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clostridium_taeniosporum,,,3.0,,5.0,,2.0,,,,,,,,,,,,,,6.0,,,,1.0,,,,,3.0,,4.0,,,,,
Clostridium_tagluense,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clostridium_tetani,,,4.0,1.0,2.0,,2.0,,,,,,,,,,,,,,1.0,,2.0,,,1.0,,4.0,,1.0,,,,,,,
Clostridium_thermarum,,,,,5.0,,18.0,,9.0,3.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
Clostridium_thermosuccinogenes,,,,2.0,,,22.0,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,1.0,,,,
Clostridium_tyrobutyricum,,,,,26.0,,7.0,,,,,,,,,,4.0,,,,,3.0,10.0,,1.0,,,,,,,,,,,,
Cohcovirus_hiberniae,,,,,,,,7082.0,,,,,,,,,,,,,44.0,,,,,,,,,,,,1.0,,,48.0,
Cohcovirus_splanchnicus,,,,,,,,28004.0,,,,,,,,,,,,,40.0,,,,13.0,,,,,,,,1.0,,,291.0,2.0
Cohnella_sp._LGH,,,,5.0,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,7.0,,,,,,
Collinsella_aerofaciens,1.0,15.0,8.0,176143.0,290.0,1001.0,16.0,1000.0,248635.0,159238.0,6.0,3.0,9.0,6.0,17.0,4.0,13.0,17.0,36.0,3.0,6.0,182050.0,54196.0,3.0,29289.0,7476.0,139.0,137.0,3.0,,4804.0,,,1670.0,21937.0,208418.0,125921.0
Collinsella_sp._zg1085,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,21.0,,,,,,,,,,1.0,
Collinsella_stercoris,38.0,50.0,,18.0,,,,15909.0,23.0,7.0,20.0,11.0,33.0,9.0,40.0,29.0,31.0,8.0,38.0,2.0,,4.0,14.0,17.0,37.0,33496.0,,,,,1.0,1.0,18.0,,,68.0,16.0
Comamonas_kerstersii,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comamonas_terrigena,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,
Companilactobacillus_alimentarius,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Companilactobacillus_allii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,
Companilactobacillus_crustorum,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Companilactobacillus_farciminis,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Companilactobacillus_futsaii,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,1.0,,,,
Companilactobacillus_pabuli,,,,,,,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Companilactobacillus_paralimentarius,,,,,,,,,,,,,,,,3.0,,,,,7.0,,,,,,,,,,,,,,,,
Coprobacter_fastidiosus,,,,,,5.0,,25.0,723.0,68.0,1.0,,,,,,,9.0,,,26345.0,3.0,1842.0,,9128.0,,,,,,,,,1.0,,925.0,16.0
Coprobacter_secundus,8.0,7.0,,607.0,47.0,9.0,56.0,5.0,113.0,189.0,12.0,10.0,18.0,6.0,6.0,3.0,4.0,,,3.0,1446.0,,17.0,9.0,34.0,,,133.0,,,87.0,,1.0,924.0,189.0,39.0,58.0
Coprococcus_catus,7782.0,7066.0,17786.0,21404.0,32.0,226.0,47.0,617.0,1471.0,6651.0,5802.0,3448.0,7023.0,3176.0,22840.0,9167.0,11738.0,4024.0,12616.0,2976.0,948.0,664.0,16812.0,3066.0,11526.0,1949.0,18.0,1781.0,93.0,8414.0,257.0,5447.0,1639.0,102.0,9275.0,7799.0,2537.0
Coprococcus_comes,1028.0,1719.0,1613.0,27599.0,886.0,8740.0,303.0,1445.0,4977.0,51215.0,1829.0,941.0,1539.0,612.0,3499.0,2426.0,2281.0,4364.0,3654.0,793.0,2260.0,479.0,3393.0,547.0,40194.0,777.0,52.0,272156.0,62.0,1317.0,441.0,1212.0,563.0,151.0,719.0,22078.0,21739.0
Coprococcus_eutactus,328.0,442.0,77.0,676.0,2.0,9.0,1.0,138.0,1013.0,662.0,225.0,135.0,295.0,118.0,451.0,289.0,725.0,730.0,365.0,155.0,113.0,74.0,502.0,123.0,10484.0,33.0,2.0,486.0,27.0,100.0,45.0,313.0,126.0,3.0,110.0,294.0,386.0
Coprococcus_sp._ART55/1,264.0,867.0,264.0,597.0,4.0,46.0,58.0,286.0,1384.0,684.0,323.0,182.0,311.0,102.0,421.0,262.0,614.0,1007.0,696.0,244.0,334.0,223.0,968.0,140.0,82058.0,166.0,4.0,258.0,9.0,73.0,19.0,106.0,173.0,8.0,98.0,931.0,1114.0
Coriobacterium_glomerans,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
Corynebacterium_accolens,,,,,1.0,4.0,4.0,,,,,,,,,,,,,,,,,,3.0,293.0,,,,,,,,,,8.0,
Corynebacterium_afermentans,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Corynebacterium_amycolatum,,,,,,,3.0,10.0,,,,,,,,,,,,,,,,,,8.0,,5.0,,,,,,,,11.0,
Corynebacterium_aurimucosum,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,
Corynebacterium_bovis,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
Corynebacterium_callunae,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,
Corynebacterium_diphtheriae,4.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Corynebacterium_durum,12.0,28.0,53.0,20.0,14.0,92.0,107.0,21.0,,70.0,7.0,3.0,15.0,1.0,19.0,6.0,26.0,19.0,80.0,11.0,,,106.0,5.0,6.0,2.0,,2.0,,6.0,,25.0,17.0,,19.0,125.0,
Corynebacterium_frankenforstense,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Corynebacterium_freneyi,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,
